"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Births (People)","3612258","3629238","3680537","3638933","3669141","3760561","3756547","3809394","3909510","4040958","4158212","4110907","4065014","4000240","3952767","3899589","3891494","3880894","3941553","3959417","4058814","4025933","4021726","4089950","4112052","4138349","4265555","4316233","4247694","4130665","3999386","3953590","3952841","3932181","3988076","3978497","3945875","3855500","3791712","3747540","3605201"
"    By age of mother",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Less than 15 (People)","10169","9632","9773","9752","9965","10220","10176","10311","10588","11486","11657","12014","12220","12554","12901","12242","11148","10121","9462","9054","8519","7781","7315","6661","6781","6722","6396","6195","5764","5029","4497","3974","3672","3098","2769","2500","2253","1917","1736","1787","1765"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"136","160","160","110","95","88","64","64","52","48","44","38",,
"                Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"181","164","133","108","102","70","71","48","42","55","36","30",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","76","78","76","57","58","37","43","42","44","49","27",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"663","625","550","433","426","359","314","228","220","195","152","130",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"98","84","71","57","67","30","30","28","29","36","20","18",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","26","21","20","24","21","19","14","10","16","10",,,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","23","18","16","13","12",,"11","13","14",,,,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21","32","26","16","29",,"20",,,,"11",,,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"378","356","260","249","192","192","165","142","130","116","107","98",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"294","258","214","184","179","180","143","101","104","99","80","87",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","15","12","10","12",,"12",,,,,,,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","18","15","13","15","10","11",,"11",,"10",,,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"260","254","187","190","136","151","124","93","84","76","59","60",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"109","114","95","91","93","61","72","60","64","45","54","46",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41","38","30","32","21","34","12","21","12","10","22","10",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"48","40","36","36","52","28","30","24","14","22","13","11",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"93","92","80","69","56","57","46","45","50","42","36","26",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"171","139","119","121","113","110","90","98","85","80","57","53",,
"                Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92","98","83","80","77","63","51","51","33","38","39","33",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","40","51","40","31","34","33","17","22","12","15","17",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"185","144","131","112","94","107","77","69","59","43","57","45",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"66","66","37","46","42","43","31","23","22","15","12","20",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"155","132","141","111","97","91","74","72","74","52","38","49",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"107","92","74","75","61","69","43","51","43","35","21","31",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","23","26","18","14","17","13","21",,"13",,,,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"76","67","52","49","39","35","26","26","16","16","22","14",,
"                New Hampshire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","69","74","76","60","72","43","51","33","27","27","26",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"72","63","52","46","44","51","33","31","20","20","17","19",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"193","244","208","185","180","179","125","102","94","86","68","57",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","234","184","163","145","132","128","107","98","73","79","73",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,,,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"227","201","182","171","141","134","112","120","106","90","79","56",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"94","89","95","101","63","65","69","58","43","49","44","32",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"50","38","38","27","20","33","15","20","14","10","13",,,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"186","158","137","153","151","126","98","95","69","67","57","60",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","20",,,,,,,"11",,,,,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"123","108","86","107","76","65","52","49","66","44","40","35",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","10","10","11",,"10",,,,,,,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"163","150","121","118","103","92","88","76","67","69","68","66",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"887","843","827","705","587","544","526","470","457","404","301","304",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26","32","33","27","23","13","15","17","16","10",,,,
"                Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","105","106","71","57","70","35","61","45","45","40","39",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"89","82","57","54","49","46","35","35","31","34","23","17",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31","26","22","21","28","25","21","25","10","17","10","10",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"80","76","61","57","57","41","39","36","35","22","24","26",,
"                Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         15-19 (People)","552161","527392","513758","489286","469682","467485","461905","462312","478353","506503","521826","519577","505415","501093","505488","499873","491577","483220","484895","476050","468990","445944","425493","414580","415262","414593","435436","444899","434758","409802","367678","329772","305388","273105","249078","229715","209809","194377","179871","171674","157548"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8696","8559","8205","7343","6609","6195","5392","5009","4739","4480","4241","3924",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1117","1135","1106","956","880","817","708","645","662","583","486","423",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12868","12051","10874","9389","8402","8119","7232","6622","5910","5357","5025","4650",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5926","5940","5753","5229","4845","4349","4155","3782","3677","3372","3178","2928",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"53417","51730","47831","43149","38303","34890","30505","27025","24175","21412","18935","16929",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6737","6638","6203","5474","4734","4154","3834","3377","3270","3068","2790","2522",,
